query_id,query,pool_rank,doc_id,title,snippet,source_modes,best_rank,rank_baseline,rank_ltr,rank_adaptive,rank_hybrid,rank_cross_encoder,previous_label,manual_label,notes
1,vitamins health benefits,1,56624,calories in a cantaloupe,"Health benefits of Cantaloupe. Wonderfully delicious with rich flavor, muskmelons are very low in calories (100 g fruit has just 34 calories) and fats. Nonetheless, the fruit is rich in numerous health promoting poly-phenolic plant derived compounds, vitamins, and minerals that are absolute for optimum health.",baseline,1,1,,,,,,3,
1,vitamins health benefits,2,66318,which vitamins and minerals are good for skin,"Benefits of vitamins are numerous along with long lasting impact on the skin health. The known vitamins and minerals for healthy skin are Vitamin B, Vitamin C, Vitamin A, Copper, Iron, Zinc, and Selenium. All these vitamins and minerals play an essential role in providing healthy and beautiful skin. Vitamin B 1 and Vitamin B 2 are required for energy production in the cells. Overt deficiencies are known to cause special forms of dermatitis....","baseline,ltr,adaptive,hybrid,cross_encoder",1,3,3,3,1,1,,3,
1,vitamins health benefits,3,89460,important vitamins for good health,"Among best-known nutrients for ensuring good health, vitamins are important chemicals with an active role in all bodily processes. Vitamins A, B, C, D, E, and K are the best known. They are eaten as food or as supplements or multivitamins. Each vitamin provides specific functions, making these the best essential nutrients and supplements for humans.","ltr,adaptive,hybrid,cross_encoder",1,,1,1,2,5,,2,
1,vitamins health benefits,4,28012,vitamins and minerals for immune health,"Fifteen minerals are essential for health: calcium, phosphorus, potassium, sodium, chloride, magnesium, iron, zinc, iodine, chromium, copper, fluoride, molybdenum, manganese, and selenium. Many foods also have fiber and other substances that can provide health benefits....","baseline,ltr,adaptive,hybrid,cross_encoder",2,8,2,2,3,6,,3,
1,vitamins health benefits,5,55096,what vitamins are found in vegetables,"Vitamin A promotes healthy vision and skin, and aids immune function. Dark leafy greens and deep orange-yellow vegetables are the best sources of vitamin A. Examples include spinach, kale, broccoli, carrots, sweet potatoes and pumpkin. Vegetables are excellent sources of fiber, folate, potassium, vitamins A and C and iron. The health benefits obtained from a eating a vegetable-rich diet are numerous....","baseline,ltr,adaptive,hybrid,cross_encoder",2,7,8,8,8,2,,3,
1,vitamins health benefits,6,67164,why are peppers good for you,"Best Answer: Health Benefits of Peppers All peppers are a good source of vitamins A, C, and K. All peppers are rich in vitamins A, C, and K, but red peppers are simply bursting with them. Antioxidant vitamins A and C help to prevent cell damage, cancer, and diseases related to aging, and they support immune function.","baseline,ltr,adaptive,hybrid,cross_encoder",2,2,7,7,7,4,,3,
1,vitamins health benefits,7,49023,what magnesium is good for,"Magnesium is an essential mineral for staying healthy and is required for more than 300 biochemical reactions in the body. Multiple health benefits of magnesium include transmission of nerve impulses, body temperature regulation, detoxification, energy production, and the formation of healthy bones and teeth. Health specialists have always emphasized the importance of including adequate amounts of vitamins and minerals in our daily diet....","baseline,cross_encoder",3,5,,,,3,,3,
1,vitamins health benefits,8,28691,what is raw honey,"Raw honey is honey (nectar from flowers) that is pure, unheated, unpasteurized and unprocessed. This is perhaps one of the most important characteristics and health benefits of the final product, as it preserves all the natural vitamins, enzymes, phytonutrients and other nutritional elements.",baseline,4,4,,,,,,3,
1,vitamins health benefits,9,53845,define vitamins,"Vitamins are nutrients your body needs to function and fight off disease. Your body cannot produce vitamins itself, so you must get them through food you eat or in some cases supplements. There are 13 vitamins that are essential to your body working well. Knowledge of the different types and understanding the purpose of these vitamins are important for good health. Types and Examples of Foods. There are two types of vitamins: fat-soluble and water-soluble....","ltr,adaptive,hybrid,cross_encoder",4,,6,6,4,7,,2,
1,vitamins health benefits,10,55134,acai berry benefits,"May increase sex drive and potency. Health Benefits of Acai: Research continues as to all the various benefits of consuming the acai açai, berry one of its most valuable properties is its high level of, antioxidants specifically. anthocyanin","ltr,adaptive,hybrid",4,,4,4,6,,,2,
1,vitamins health benefits,11,78459,health benefits of nutritional yeast,"One of the important health benefits of nutritional yeast is that it is a rich source of vitamin B complex, that helps in managing stress levels, maintains a good metabolic rate, prevents cancer of the pancreas and ensures a healthy skin.","ltr,adaptive,hybrid",5,,5,5,5,,,3,
1,vitamins health benefits,12,76268,what nutrients are in a avocado seed,"Health benefits of avocado. Avocados, like olives, are high in mono-unsaturated fats and calories. However, they are very rich in dietary fiber, vitamins, and minerals and packed with numerous health benefiting plant nutrients. Their creamy pulp is a very good source of mono-unsaturated fatty acids like oleic and palmitoleic acids as well as omega-6 poly-unsaturated fatty acid linoleic acid",baseline,6,6,,,,,,3,
1,vitamins health benefits,13,51162,what are papayas made of,"Health Benefits. Papayas offer not only the luscious taste and sunlit color of the tropics, but are rich sources of antioxidant nutrients such as carotenes, vitamin C and flavonoids; the B vitamins, folate and pantothenic acid; and the minerals, potassium, copper, and magnesium; and fiber. Papaya's seeds are edible, although their peppery flavor is somewhat bitter. The fruit, as well as the other parts of the papaya tree, contain papain, an enzyme that helps digest proteins....",cross_encoder,8,,,,,8,,3,
1,vitamins health benefits,14,44177,papaya nutrition facts and health benefits,"Papaya fruit is also rich in many essential B-complex vitamins such as Folic acid, pyridoxine (vitamin B-6), riboflavin, and thiamin (vitamin B-1). These vitamins are essential in the sense that body requires them from external sources to replenish and play a vital role in metabolism. Unripe papaya, however, can be eaten safely as a cooked vegetable. Fruit nutrition from Papaya fruit....",baseline,9,9,,,,,,3,
1,vitamins health benefits,15,65624,pu-erh tea health benefits,"Pu Erh tea offers you tremendous health benefits. Like the other types of tea, this medicinal tea contains a high amount of antioxidants that protect your mind and body from diseases and environmental threats that surround us. Have a look at these amazing health benefits of Pu Erh tea.","ltr,adaptive,hybrid",9,,9,9,10,,,2,
1,vitamins health benefits,16,71471,vitamins good for health and skin,"4. Vitamin B Complex. B Vitamins should also be added to your diet if you wish to achieve healthy skin. Vitamin B1, for instance, boosts circulation in the body and gives your skin a certain glow. Vitamin C also stimulates the production of collagen in your skin. Collagen is the protein responsible for making your skin supple. So if you wish to retain smooth and youthful skin then Vitamin C can help....",cross_encoder,9,,,,,9,,2,
